Episode,Total Reward,Steps,Hits,Sunk Ships,Misses,Hit Rate,Q-Table Size,Consecutive Hits,Max Consecutive Hits Ship 1,Max Consecutive Hits Ship 2,Max Consecutive Hits Ship 3,Max Consecutive Hits Ship 4,Max Consecutive Hits Ship 5,Max Consecutive Hits Ship 6
153,176.8480346820812,173,24,6,59,0.13872832369942195,69,7,1,1,1,1,4,3
154,122.55691358024632,405,24,6,75,0.05925925925925926,69,4,1,1,1,1,2,3
155,120.9436448598137,428,24,6,75,0.056074766355140186,69,5,1,1,1,2,1,4
156,143.0521148036263,331,24,6,71,0.07250755287009064,69,6,1,2,1,1,1,4
157,122.95371364653205,447,24,6,73,0.053691275167785234,69,7,1,1,1,1,3,5
158,147.11239766081863,342,24,6,74,0.07017543859649122,69,8,2,1,1,1,1,8
159,88.357232704401,636,24,6,76,0.03773584905660377,69,8,1,1,1,1,4,3
160,165.8660207612471,289,24,6,64,0.08304498269896193,69,11,1,1,1,1,4,6
161,170.92453183520672,267,24,6,71,0.0898876404494382,69,11,1,1,1,1,3,10
162,157.66700831025167,361,24,6,67,0.0664819944598338,69,13,1,1,3,1,3,10
163,120.98761726078871,533,24,6,76,0.0450281425891182,71,12,1,2,3,1,2,7
164,89.78722408026613,598,24,6,74,0.04013377926421405,71,6,1,1,1,2,1,5
165,170.7445318352071,267,24,6,69,0.0898876404494382,71,11,1,2,1,1,4,8
166,131.38641025640942,390,24,6,73,0.06153846153846154,71,6,1,1,1,1,3,4
167,151.78211480362742,331,24,6,68,0.07250755287009064,71,9,1,1,1,1,2,8
168,138.43109660574518,383,24,6,69,0.06266318537859007,71,8,1,1,2,1,1,8
169,104.51833333333289,480,24,6,75,0.05,71,3,1,1,1,1,1,4
170,136.38030030029964,333,24,6,68,0.07207207207207207,71,4,1,1,1,1,1,3
171,104.38484288354942,541,24,6,76,0.04436229205175601,71,7,1,1,1,1,1,8
172,114.80449897750503,489,24,6,76,0.049079754601226995,71,7,2,1,1,1,1,7
173,160.17843205575,287,24,6,63,0.08362369337979095,71,9,1,1,1,1,2,9
174,135.326919739699,461,24,6,75,0.052060737527114966,71,12,1,1,1,3,4,7
175,136.1338071066003,394,24,6,68,0.06091370558375635,71,8,1,1,1,1,4,4
176,178.93900369003794,271,24,6,69,0.08856088560885608,71,14,1,1,2,3,4,9
177,137.46154518950397,343,24,6,69,0.06997084548104957,71,5,1,1,2,1,1,5
178,119.39752475247441,404,24,6,71,0.0594059405940594,71,3,1,1,1,1,1,4
179,150.35498525073876,339,24,6,70,0.07079646017699115,71,9,1,2,1,1,1,9
180,140.5973796791451,374,24,6,73,0.06417112299465241,71,8,1,1,3,1,1,6
181,134.65866348448753,419,24,6,74,0.057279236276849645,71,9,2,1,2,1,2,7
182,114.00115942029005,552,24,6,74,0.043478260869565216,71,11,1,2,2,2,1,9
183,136.4552519893896,377,24,6,67,0.0636604774535809,71,7,1,1,3,1,1,6
184,143.08746031746034,315,24,6,69,0.0761904761904762,71,5,1,1,1,1,1,5
185,112.91703933747469,483,24,6,75,0.049689440993788817,71,6,1,1,1,2,2,4
186,134.6623976608185,342,24,6,69,0.07017543859649122,71,4,2,1,1,1,1,2
187,108.2914882032655,551,24,6,75,0.043557168784029036,72,9,1,1,3,1,1,8
188,128.53876826722583,479,24,6,73,0.05010438413361169,72,11,1,1,2,1,2,10
189,125.04123893805433,452,24,6,74,0.05309734513274336,72,8,1,1,1,3,1,7
190,175.96813471502642,193,24,6,61,0.12435233160621761,72,8,1,1,1,1,3,7
191,89.36638935108013,601,24,6,76,0.03993344425956739,72,6,1,1,1,1,1,5
192,145.56894736842136,304,24,6,72,0.07894736842105263,72,5,1,1,1,1,1,5
193,130.12186440678107,472,24,6,75,0.05084745762711865,72,11,1,1,1,3,1,10
194,146.77813895781813,403,24,6,73,0.05955334987593052,72,12,2,1,1,1,4,9
195,127.13576131687145,486,24,6,73,0.04938271604938271,72,11,2,1,2,1,1,10
196,145.47316455696233,395,24,6,74,0.060759493670886074,72,11,1,1,2,2,2,9
197,153.6536245954706,309,24,6,73,0.07766990291262135,72,8,2,1,1,1,2,7
198,150.86055900621093,322,24,6,71,0.07453416149068323,72,8,1,1,1,1,2,8
199,143.70670033670035,297,24,6,69,0.08080808080808081,72,4,1,1,1,1,1,3
200,140.82906735751416,386,24,6,69,0.06217616580310881,72,9,1,2,1,1,1,6
201,128.82920502092134,478,24,6,74,0.0502092050209205,72,11,1,1,2,2,2,6
202,84.18778523489792,596,24,6,74,0.040268456375838924,72,4,1,1,1,1,2,3
203,122.76923444976113,418,24,6,73,0.05741626794258373,72,5,2,1,1,1,1,5
204,69.53157894736654,760,24,6,76,0.031578947368421054,72,10,2,1,1,1,1,10
205,83.58286644950996,614,24,6,74,0.03908794788273615,72,5,1,1,1,1,1,4
206,139.77509803921822,408,24,6,73,0.058823529411764705,72,10,1,1,1,3,1,6
207,122.04123893805372,452,24,6,74,0.05309734513274336,72,7,1,1,1,2,1,6
208,145.3944654088066,318,24,6,68,0.07547169811320754,72,6,2,1,1,1,1,6
209,112.9441327623121,467,24,6,73,0.05139186295503212,72,5,1,1,1,1,1,4
210,100.33618556700957,485,24,6,73,0.049484536082474224,72,2,1,1,1,1,2,2
211,121.73779043280264,439,24,6,75,0.05466970387243736,72,6,1,1,1,1,1,6
212,105.00621973929256,537,24,6,74,0.0446927374301676,72,7,1,2,1,1,1,7
213,143.2869135802492,405,24,6,72,0.05925925925925926,72,11,1,1,1,3,3,7
214,152.08069767442035,344,24,6,67,0.06976744186046512,72,10,1,2,3,2,1,4
215,151.5473563218403,348,24,6,70,0.06896551724137931,72,10,1,1,1,1,2,10
216,158.17746031746105,315,24,6,70,0.0761904761904762,72,10,1,1,1,1,2,10
217,69.12391573730049,807,24,6,76,0.02973977695167286,72,13,1,1,3,3,2,9
218,131.38641025641044,390,24,6,73,0.06153846153846154,72,6,1,1,2,1,1,6
219,134.66752475247614,404,24,6,74,0.0594059405940594,72,8,1,1,1,2,4,3
220,135.02321428571543,448,24,6,76,0.05357142857142857,72,11,1,1,1,2,3,7
221,171.2829004329014,231,24,6,61,0.1038961038961039,72,9,2,1,1,1,3,7
222,161.5858103975546,327,24,6,68,0.07339449541284404,72,12,1,1,3,1,3,9
223,148.51472527472743,364,24,6,72,0.06593406593406594,72,10,2,1,2,1,1,9
224,89.4766666666656,600,24,6,75,0.04,72,6,1,1,2,1,1,6
225,162.93231884058048,276,24,6,69,0.08695652173913043,72,9,1,1,1,2,3,5
226,136.26330900243437,411,24,6,74,0.058394160583941604,72,9,1,1,2,3,1,7
227,135.5806265664173,399,24,6,73,0.06015037593984962,72,8,1,1,1,1,1,9
228,158.47487804878187,328,24,6,69,0.07317073170731707,72,11,1,1,1,3,3,6
229,102.69214936247658,549,24,6,75,0.04371584699453552,72,7,2,1,3,1,1,4
230,157.21446540880686,318,24,6,66,0.07547169811320754,72,10,1,1,1,3,2,7
231,133.77385224274553,379,24,6,75,0.0633245382585752,72,6,2,1,1,1,1,6
232,101.76694490817974,599,24,6,76,0.04006677796327212,72,10,1,1,2,1,4,7
233,174.7167973856226,306,24,6,67,0.0784313725490196,72,15,2,1,3,3,2,10
234,140.13123893805593,452,24,6,75,0.05309734513274336,72,13,1,1,1,3,4,9
235,122.20041474654366,434,24,6,69,0.055299539170506916,72,6,1,1,1,1,1,7
236,162.2201360544221,294,24,6,68,0.08163265306122448,72,10,1,1,2,1,2,9
237,80.66527950310568,644,24,6,75,0.037267080745341616,72,6,1,1,2,1,3,3
238,116.22161290322494,496,24,6,74,0.04838709677419355,72,8,1,1,1,1,2,8
239,88.55748031495914,635,24,6,76,0.03779527559055118,72,8,2,1,1,1,2,7
240,111.57573363431055,443,24,6,71,0.05417607223476298,72,3,1,1,1,1,1,2
241,168.68152263374614,243,24,6,59,0.09876543209876543,72,9,1,1,3,1,1,5
242,153.3897402597421,385,24,6,73,0.06233766233766234,72,13,1,1,3,3,1,10
243,150.90330900243305,411,24,6,70,0.058394160583941604,72,14,1,1,3,2,3,10
244,98.09450184501736,542,24,6,75,0.04428044280442804,72,5,1,1,2,1,1,4
245,147.8236426116836,291,24,6,68,0.08247422680412371,72,5,1,1,2,1,1,5
246,200.64471264367836,174,24,6,59,0.13793103448275862,72,15,2,1,3,2,4,9
247,114.3865671641801,536,24,6,76,0.04477611940298507,72,10,1,2,1,1,1,10
248,148.6947252747258,364,24,6,74,0.06593406593406594,72,10,1,1,1,1,2,10
249,90.97301038062147,578,24,6,76,0.04152249134948097,72,5,1,1,1,1,3,3
250,106.11315018314963,546,24,6,73,0.04395604395604396,72,8,1,1,1,1,1,9
251,126.31366598778132,491,24,6,75,0.048879837067209775,72,11,1,2,3,1,4,4
252,112.40348623853085,545,24,6,74,0.044036697247706424,72,10,1,1,1,3,1,6
253,89.99636684303252,567,24,6,74,0.042328042328042326,72,4,2,1,1,1,1,2
254,150.46585798816758,338,24,6,69,0.07100591715976332,72,9,1,1,1,1,3,6
255,166.21900369003833,271,24,6,61,0.08856088560885608,72,10,1,1,3,1,2,7
256,70.13477088948605,742,24,6,76,0.03234501347708895,72,9,1,1,2,1,1,9
257,59.0429787234024,752,24,6,75,0.031914893617021274,72,6,1,1,1,2,1,5
258,129.86624434389248,442,24,6,72,0.05429864253393665,72,9,1,2,1,2,3,3
259,169.28764705882435,272,24,6,64,0.08823529411764706,72,11,1,1,3,1,4,4
260,70.55037593984933,665,24,6,76,0.03609022556390978,72,4,1,1,1,1,2,3
261,130.14231422505313,471,24,6,73,0.050955414012738856,72,11,2,1,1,1,2,10
262,106.38949152542446,590,24,6,74,0.04067796610169491,72,11,2,1,3,1,3,6
263,143.70875621890795,402,24,6,70,0.05970149253731343,72,11,1,1,1,1,4,9
264,151.32571428571595,350,24,6,72,0.06857142857142857,72,10,1,1,2,3,2,4
265,127.63321961620623,469,24,6,74,0.0511727078891258,72,10,2,1,1,1,3,8
266,128.8372386587789,507,24,6,72,0.047337278106508875,73,13,1,2,2,3,4,6
267,120.20325203252108,492,24,6,76,0.04878048780487805,73,9,1,1,1,1,1,10
268,114.73491803278586,488,24,6,73,0.04918032786885246,73,7,1,1,2,1,1,7
269,152.17525198939174,377,24,6,75,0.0636604774535809,73,12,1,1,1,3,3,9
270,154.33472527472688,364,24,6,70,0.06593406593406594,73,12,2,1,1,1,3,10
271,99.692149362476,549,24,6,75,0.04371584699453552,77,6,1,1,1,1,1,5
272,183.45816326530613,245,24,6,61,0.09795918367346938,77,14,1,2,2,3,3,6
273,97.77421602787555,574,24,6,76,0.041811846689895474,77,7,1,1,1,1,3,6
274,161.94581039755533,327,24,6,72,0.07339449541284404,77,12,1,1,3,3,3,7
275,106.59889087656398,559,24,6,74,0.04293381037567084,77,9,1,1,2,2,4,4
276,158.56160642570293,249,24,6,60,0.0963855421686747,77,6,1,1,2,1,3,3
277,127.84831050228212,438,24,6,74,0.0547945205479452,77,8,1,1,1,3,2,6
278,145.27247956403397,367,24,6,76,0.0653950953678474,77,9,1,1,1,1,3,5
279,130.60472527472527,364,24,6,73,0.06593406593406594,77,4,1,1,2,1,1,4
280,135.96419203747206,427,24,6,73,0.05620608899297424,77,10,1,1,1,1,3,6
281,103.16474464579836,607,24,6,76,0.039538714991762765,77,11,1,2,2,2,1,9
282,149.13123893805587,452,24,6,75,0.05309734513274336,77,16,2,1,2,3,4,10
283,111.30762845849694,506,24,6,75,0.04743083003952569,77,7,1,1,1,2,1,7
284,157.43653295129118,349,24,6,71,0.06876790830945559,77,12,1,1,3,1,2,10
285,166.09052863436094,227,24,6,61,0.10572687224669604,77,7,1,1,1,1,1,8
286,101.15822784810132,632,24,6,76,0.0379746835443038,77,12,2,2,2,2,2,5
287,139.30315789473718,380,24,6,72,0.06315789473684211,77,8,1,1,2,1,2,4
288,137.37271714922244,449,24,6,71,0.053452115812917596,77,12,1,1,2,1,4,9
289,175.46370078740281,254,24,6,59,0.09448818897637795,77,12,1,1,1,1,4,10
290,78.1522070015205,657,24,6,76,0.0365296803652968,77,6,2,1,1,1,1,4
291,150.69100271002864,369,24,6,74,0.06504065040650407,77,11,1,1,1,3,2,9
292,156.62173913043694,368,24,6,71,0.06521739130434782,77,13,2,2,3,1,1,10
293,124.71939393939545,528,24,6,73,0.045454545454545456,77,13,1,2,1,3,4,5
294,162.03089887640593,356,24,6,71,0.06741573033707865,77,14,1,1,3,2,3,10
295,74.4518439716295,705,24,6,75,0.03404255319148936,77,8,1,1,1,1,4,5
296,145.65333333333442,300,24,6,64,0.08,77,5,2,1,1,1,1,4
297,105.77730496453779,564,24,6,76,0.0425531914893617,77,9,1,1,2,1,3,7
298,134.7532142857146,448,24,6,73,0.05357142857142857,77,11,1,2,1,2,1,10
299,108.78726591760177,534,24,6,76,0.0449438202247191,77,8,1,1,1,1,3,7
300,124.84831050228347,438,24,6,74,0.0547945205479452,77,7,2,1,1,1,2,4
301,155.78840637450227,251,24,6,67,0.09561752988047809,77,5,1,1,1,1,3,4
302,146.50985507246378,345,24,6,74,0.06956521739130435,77,8,1,1,1,1,1,9
303,167.58682539682522,252,24,6,67,0.09523809523809523,77,9,1,1,1,1,4,7
304,161.71878787878876,264,24,6,62,0.09090909090909091,77,8,1,1,1,1,2,8
305,140.96169014084532,355,24,6,68,0.0676056338028169,77,7,1,1,3,1,1,6
